id,start,peak,end,class,peak_value,source,confidence
flare_0000,2024-09-01 01:11:40+00:00,2024-09-01 01:11:40+00:00,2024-09-01 01:31:40+00:00,N/A,126.6,hard_only,0.52
flare_0001,2024-09-01 02:14:30+00:00,2024-09-01 02:24:40+00:00,2024-09-01 02:34:30+00:00,B,291.1,soft+hard,0.7000000000000001
flare_0002,2024-09-01 03:31:10+00:00,2024-09-01 03:32:50+00:00,2024-09-01 03:52:10+00:00,B,461.5,soft+hard,0.89
flare_0003,2024-09-01 05:33:20+00:00,2024-09-01 05:33:20+00:00,2024-09-01 05:53:20+00:00,N/A,154.3,hard_only,0.6
flare_0004,2024-09-01 06:42:20+00:00,2024-09-01 06:42:40+00:00,2024-09-01 07:03:00+00:00,B,379.7,soft+hard,0.75
flare_0005,2024-09-01 07:19:50+00:00,2024-09-01 07:21:00+00:00,2024-09-01 07:40:20+00:00,B,290.8,soft+hard,0.65
flare_0006,2024-09-01 07:55:20+00:00,2024-09-01 07:57:40+00:00,2024-09-01 08:19:40+00:00,M,845.6,soft+hard,1.0
flare_0007,2024-09-01 11:53:10+00:00,2024-09-01 11:59:50+00:00,2024-09-01 13:36:20+00:00,C,604.7,soft+hard,0.74
flare_0008,2024-09-01 12:57:10+00:00,2024-09-01 13:02:10+00:00,2024-09-01 13:09:20+00:00,M,1081.3,soft_only,0.78
flare_0009,2024-09-01 22:44:20+00:00,2024-09-01 22:45:20+00:00,2024-09-01 23:05:50+00:00,N/A,431.1,hard_only,0.56
flare_0010,2024-09-01 23:39:30+00:00,2024-09-01 23:39:40+00:00,2024-09-01 23:43:20+00:00,B,528.0,soft_only,0.51
flare_0011,2024-10-03 00:00:00+00:00,2024-10-03 00:00:00+00:00,2024-10-03 00:20:00+00:00,N/A,234.0,hard_only,0.61
flare_0012,2024-10-03 02:33:30+00:00,2024-10-03 02:34:50+00:00,2024-10-03 02:54:10+00:00,C,547.1,soft_only,0.51
flare_0013,2024-10-03 03:30:40+00:00,2024-10-03 03:40:40+00:00,2024-10-03 04:01:30+00:00,M,827.0,soft+hard,0.74
flare_0014,2024-10-03 06:45:40+00:00,2024-10-03 06:45:50+00:00,2024-10-03 07:05:50+00:00,N/A,611.4,hard_only,1.0
flare_0015,2024-10-03 08:25:00+00:00,2024-10-03 08:27:50+00:00,2024-10-03 08:58:00+00:00,M,921.6,soft_only,0.6
flare_0016,2024-10-03 12:02:30+00:00,2024-10-03 12:16:50+00:00,2024-10-03 12:41:20+00:00,X+,22255.4,soft+hard,1.0
flare_0017,2024-11-07 01:23:10+00:00,2024-11-07 01:25:20+00:00,2024-11-07 01:47:40+00:00,N/A,1127.2,hard_only,0.86
flare_0018,2024-11-07 07:48:40+00:00,2024-11-07 07:49:40+00:00,2024-11-07 08:11:20+00:00,N/A,540.7,hard_only,0.59
flare_0019,2024-11-07 11:57:50+00:00,2024-11-07 12:10:30+00:00,2024-11-07 12:31:30+00:00,N/A,2192.5,hard_only,1.0
flare_0020,2024-11-07 22:59:10+00:00,2024-11-07 22:59:10+00:00,2024-11-07 23:19:10+00:00,N/A,131.1,hard_only,0.51
flare_0021,2024-11-07 23:45:00+00:00,2024-12-15 00:00:00+00:00,2024-12-15 00:20:00+00:00,N/A,209.0,hard_only,0.68
flare_0022,2024-12-15 02:53:00+00:00,2024-12-15 02:53:00+00:00,2024-12-15 03:13:00+00:00,N/A,107.9,hard_only,0.51
flare_0023,2024-12-15 04:30:30+00:00,2024-12-15 04:30:30+00:00,2024-12-15 04:50:30+00:00,N/A,113.1,hard_only,0.52
flare_0024,2024-12-15 05:24:30+00:00,2024-12-15 05:24:30+00:00,2024-12-15 05:44:30+00:00,N/A,109.1,hard_only,0.52
flare_0025,2024-12-15 09:37:00+00:00,2024-12-15 09:56:10+00:00,2024-12-15 10:16:10+00:00,N/A,122.2,hard_only,0.56
flare_0026,2024-12-15 11:05:00+00:00,2024-12-15 11:07:40+00:00,2024-12-15 11:33:10+00:00,B,462.0,soft+hard,0.66
flare_0027,2024-12-15 12:38:30+00:00,2024-12-15 12:38:30+00:00,2024-12-15 12:58:30+00:00,N/A,114.9,hard_only,0.51
flare_0028,2024-12-15 14:12:50+00:00,2024-12-15 14:12:50+00:00,2024-12-15 14:33:00+00:00,N/A,174.9,hard_only,0.66
flare_0029,2024-12-15 20:21:50+00:00,2024-12-15 20:24:00+00:00,2024-12-15 20:44:50+00:00,X,2269.1,soft+hard,1.0
